Language,Response Time
csharp,2530
csharp,2400
csharp,2372
csharp,2510
csharp,2517
csharp,2418
csharp,2581
csharp,2699
csharp,2994
csharp,2511
csharp,2403
csharp,2700
csharp,2936
csharp,3352
csharp,2696
csharp,2837
csharp,2766
csharp,2647
csharp,2736
csharp,2592
csharp,2469
csharp,2782
csharp,3096
csharp,2758
csharp,2553
csharp,3464
csharp,2765
csharp,2759
csharp,2516
csharp,3061
csharp,2581
csharp,2968
csharp,7253
csharp,7171
csharp,2546
csharp,2547
csharp,2275
csharp,2244
csharp,1913
csharp,2084
csharp,2226
csharp,2217
csharp,2461
csharp,2344
csharp,2045
csharp,1962
csharp,1947
csharp,1976
csharp,1986
csharp,2034
csharp,1995
csharp,2022
csharp,2207
csharp,2141
csharp,2162
csharp,2096
csharp,1927
csharp,1976
csharp,1964
csharp,2186
csharp,2139
csharp,2532
csharp,2983
csharp,2208
csharp,2300
csharp,2224
csharp,2578
csharp,2560
csharp,2389
csharp,2803
csharp,3168
csharp,2793
csharp,2000
csharp,2135
csharp,2076
csharp,2336
csharp,2158
csharp,2200
csharp,1929
csharp,1917
csharp,1996
csharp,7049
csharp,7397
csharp,2152
csharp,2123
csharp,2327
csharp,2056
csharp,2016
csharp,2334
csharp,2122
csharp,2138
csharp,2022
csharp,2016
csharp,2195
csharp,2210
csharp,2090
csharp,1964
csharp,2010
csharp,2167
csharp,3088
go,362
go,460
go,440
go,491
go,496
go,341
go,501
go,366
go,390
go,382
go,343
go,375
go,375
go,562
go,507
go,524
go,521
go,555
go,412
go,499
go,538
go,662
go,403
go,391
go,414
go,353
go,371
go,399
go,376
go,338
go,373
go,392
go,368
go,388
go,429
go,530
go,369
go,430
go,371
go,361
go,357
go,437
go,382
go,388
go,365
go,374
go,352
go,402
go,411
go,507
go,369
go,427
go,363
go,378
go,393
go,374
go,373
go,336
go,358
go,381
go,802
go,756
go,381
go,421
go,374
go,377
go,426
go,372
go,395
go,435
go,381
go,404
go,343
go,358
go,340
go,358
go,370
go,361
go,330
go,398
go,346
go,330
go,358
go,377
go,387
go,380
go,395
go,330
go,355
go,345
go,351
go,361
go,340
go,339
go,326
go,344
go,377
go,401
go,2313
go,681
java,6574
java,10818
java,6411
java,6042
java,6361
java,6279
java,6169
java,6540
java,6272
java,5952
java,6342
java,6088
java,5853
java,6199
java,6080
java,5819
java,6065
java,6209
java,6114
java,5827
java,6269
java,5884
java,6100
java,5787
java,6105
java,6091
java,6245
java,5778
java,6086
java,5948
java,6195
java,5868
java,5446
java,5826
java,6266
java,5876
java,5943
java,6081
java,6247
java,6035
java,6153
java,6167
java,5946
java,5579
java,6403
java,6363
java,5792
java,6323
